id,category,topic,title,question,answer,keywords,source,url
1,Business & Entrepreneurship,SYSS,Skilled Youth Startup Scheme,What is Skilled Youth Startup Scheme?,Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance.,"Business, StartUp, Employment, Entrepreneurship, Youth, Business & Entrepreneurship, Agriculture,Rural & Environment, Skills & Employment",State,https://www.myscheme.gov.in/schemes/syss
2,"Agriculture,Rural & Environment",KBPYY,Krishak Bakri Palan Yojna,What is Krishak Bakri Palan Yojna?,"The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Krishak Bakri Palan Yojna"" with the aim to increase income generation opportunities for economically weaker segments of the society as well as to increase meat production.","Goat Farming Scheme, Animal Husbandry, Financial Assistance, Rural Development, Agriculture,Rural & Environment, Skills & Employment",State,https://www.myscheme.gov.in/schemes/kbpyy
3,"Agriculture,Rural & Environment",MMKSSY-ASSAM,Mukhya Mantri Krishi Sa Sajuli Yozana - Assam,What is Mukhya Mantri Krishi Sa Sajuli Yozana - Assam?,The scheme “Mukhya Mantri Krishi Sa Sajuli Yojana” is a State Owned Priority Development (SOPD) scheme for farmers launched by the Assam government in FY 2018-19.  The main purpose of launching this scheme for farmers is their holistic development by implementing several farm mechanization schemes.,"Farmer, Agriculture, Direct Benefit Transfer, Financial Assistance, Farm Tools, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/mmkssy-assam
4,"Agriculture,Rural & Environment",UPPY,Uttam Pashu Puraskar Yojana,What is Uttam Pashu Puraskar Yojana?,"The scheme “Uttam Pashu Puraskar Yojana” was launched by the Department of Animal Husbandry, Government of Himachal Pradesh to provide incentives and encouragement to livestock Owners for rearing good quality high yielding animals.","Livestock, Cattle, Buffaloes, Cash Prize, Milk, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/uppy
5,"Agriculture,Rural & Environment",CCTOFP,Community Canning & Training On Fruit Preservation,What is Community Canning & Training On Fruit Preservation?,"The office of the Deputy Director of Agriculture (Fruit Preservation) Assam was created in 1978, under the Directorate of Agriculture and in 2008 it was transferred to the Directorate of Horticulture and Food Processing.","Fruit Preservation, Community Canning, Training, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/cctofp
6,"Agriculture,Rural & Environment",SSE25KRBUST,Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,What is Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes?,"The scheme “Subsidy Scheme on Establishment of - 25 Kadaknath/R.I.R. Birds Unit to Scheduled Tribes” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Govt. of Gujarat to provide employment, nutritious diet and to raise the income of Scheduled Tribe People of Gujarat State.","Poultry Farming, Scheduled Tribe, Subsidy, Kadaknath, Financial Assistance, Rhode Island Red (RIR), Agriculture,Rural & Environment, Business & Entrepreneurship",State,https://www.myscheme.gov.in/schemes/sse25krbust
7,"Agriculture,Rural & Environment",Madilu,Madilu Kit,What is Madilu Kit?,"The Madilu Programme is a government initiative focused on empowering rural communities through skill development and entrepreneurship opportunities. It aims to create sustainable livelihoods, reduce poverty, and enhance social and economic well-being in rural areas.","Skill Development, Entrepreneurship, Livelihoods, Poverty Reduction, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/madilu
8,"Agriculture,Rural & Environment",SSIEEMAF,Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm,What is Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm?,"The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for the State Cattle Breeders” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Animal Husbandry, Subsidy, Farmer, Cattle Farming, Loan, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ssieemaf
9,"Agriculture,Rural & Environment",IOAIBFCPBIC,Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow,What is Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow?,"The scheme “Incentive to Owners of Artificial Insemination Born Female Calf through Pure Breeding in Indigenous Cow” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Incentive, Artificial Insemination, Indigenous Cow, Livestock, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ioaibfcpbic
10,"Agriculture,Rural & Environment",ITG,Incentive To Girls,What is Incentive To Girls?,"Rajasthan State started a scheme ""Incentive for Girls"" for state students.","Financial Assistance, Girl Education, Empowerment, Higher Education, Agriculture,Rural & Environment, Women and Child",State,https://www.myscheme.gov.in/schemes/itg
